Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2018,12,Female,17,Right-Handed,160,24,164,2,Rail (Train/Tram/Subway),30,0.748,63,Other,700,700,700,700,700,700,24,Same length,72,72,Same length,May,Spring,No,Yes,Rice/Noodle dishes,Tea,Social studies,5,13,2,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",30,40,3,1,8,4,0,0,3,4,14,2,0,1,A lot,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,Environment
USA,NY,2018,12,Female,17,Right-Handed,176,23,172,3,Rail (Train/Tram/Subway),90,1.246,58,Walking/Hiking,946,895,346,207,500,500,23,Same length,85,100,Ring finger,October,Spring,Yes,Yes,Meat,Juice,Mathematics and statistics,0.1,60,20,Yes - broadband connection,Cell phone,70,1000,0,0,0,50,10,9,8,7,6,5,4,3,A lot,Less than high school,Rock and roll,Invisibility,Happy,Relative,Education/Youth development
USA,NY,2018,12,Male,17,Right-Handed,174,28,176,2,Rail (Train/Tram/Subway),45,0.842,41,Skateboarding/Rollerblading,900,700,500,900,100,700,28,Same length,94,100,Ring finger,September,Spring,Yes,No,Rice/Noodle dishes,Water,Art,4,8,3,Yes - broadband connection,Text messaging,25,25,30,,,,,,,,,,,,,,,,,,
USA,NY,2018,12,Female,17,Right-Handed,153,21,,2,Bus,90,0.437,36,Walking/Hiking,980,920,960,940,880,900,21,Same length,69,73,Ring finger,November,Fall,Yes,No,Fruit,Water,Social studies,5,10,3,Yes - broadband connection,In person,6,11,5,1,10,2,0,0,1,0.5,6,10,0,0,Some,Graduate degree,Other,Telepathy,Rich,Politician,"Wildlife, animals"
USA,NY,2018,12,Female,17,Right-Handed,156,21.59,,2,Rail (Train/Tram/Subway),57,0.535,40,Dancing,1000,840,930,952,380,460,20.32,Right foot,75.3,76.2,Ring finger,June,Summer,No,No,Pizza/Pasta,Water,Science,6,11,4,Yes - broadband connection,In person,150,150,30,5,35,50,2,3,20,10,15,2,0,3,Some,Graduate degree,Pop,Fly,Happy,Relative,Education/Youth development
USA,NY,2018,12,Male,18,Right-Handed,180,34,178,2,Rail (Train/Tram/Subway),30,0.301,45,Martial Arts,500,550,600,250,999,999,31,Same length,90,84,Index finger,January,Winter,No,No,Meat,Water,Computers and technology,7,12,3,Yes - broadband connection,Text messaging,300,300,8,0,15,5,20,20,2,10,10,2,20,5,Some,Graduate degree,Rap/Hip hop,Invisibility,Rich,Relative,Health
USA,NY,2018,12,Male,18,Right-Handed,173,28,180,4,Rail (Train/Tram/Subway),35,0.453,39,Lacrosse,481,684,588,556,1000,1000,28,Same length,100,102,Ring finger,April,Spring,No,,Meat,Water,Science,4,8,4,Yes - broadband connection,Text messaging,97,128,10,3,6,4,9,2,4,6,1,1,35,10,Very little,Graduate degree,Rap/Hip hop,Super strength,Happy,Sports person,International aid
USA,NY,2018,12,Male,18,Left-Handed,167,28.5,171,2,Rail (Train/Tram/Subway),70,0.4,50,Basketball,400,400,400,400,1000,1000,28.5,Same length,110,107,Index finger,January,Winter,No,No,Rice/Noodle dishes,Water,Computers and technology,5,8,3,Yes - broadband connection,In person,20,120,20,0.4,4,0,2,20,5,4,40,0,0,0,A lot,Graduate degree,Pop,Freeze time,Famous,Other,Education/Youth development
USA,NY,2018,12,Male,17,Right-Handed,168,24.4,174,1,Rail (Train/Tram/Subway),24,0.333,40,Other,1000,1000,500,400,800,1000,24,Right foot,100,107,Ring finger,November,Winter,Yes,No,Rice/Noodle dishes,Water,Science,3,6,5,Yes - broadband connection,In person,3,3,2,0,20,4,1,50,5,1,70,0,0,1,Some,Other,Other,Invisibility,Famous,Other,Education/Youth development
USA,NY,2018,12,Female,17,Right-Handed,158,9.2,148,2,Rail (Train/Tram/Subway),2,0.77,60,Walking/Hiking,700,700,900,600,500,800,9.12,Right foot,62,60,Index finger,November,Winter,No,No,Breads/Sandwiches,Coffee,History,5,7,4,Yes - broadband connection,In person,10,11,35,2,12,4,6,0,8,2,18,5,4,3,A lot,Graduate degree,Classical,Telepathy,Happy,Actor,"Wildlife, animals"
USA,NY,2018,12,Male,16,Right-Handed,187,27,188,2,Rail (Train/Tram/Subway),45,0.36,35,Basketball,722,626,246,722,797,733,28,Left foot,103,111,Ring finger,July,Summer,Yes,No,Pizza/Pasta,Water,Computers and technology,6,10,3,Yes - broadband connection,Internet chat or instant messaging,50,200,21,4,6,10,10,15,0,15,40,18,0,20,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Sports person,Education/Youth development
USA,NY,2018,12,Male,18,Right-Handed,182,26,186,2,Rail (Train/Tram/Subway),40,0.293,31,Athletics,1000,1000,1000,1000,1000,1000,26,Same length,100,114,Ring finger,May,Fall,No,No,Pizza/Pasta,Water,Computers and technology,7,9,4,Yes - broadband connection,Text messaging,20,20,2,1,8,6,3,8,1,1,1,6,0,4,A lot,Graduate degree,Rap/Hip hop,Telepathy,Happy,Business person,"Wildlife, animals"
USA,NY,2018,12,Male,18,Right-Handed,174,27,182,1,Rail (Train/Tram/Subway),30,0.289,40,Other,500,500,600,600,700,900,27,Same length,105,120,Ring finger,December,Summer,No,No,Seafood,Water,Mathematics and statistics,8,8,4,Yes - broadband connection,Text messaging,100,100,14,1,5,5,15,2,0,1,10,20,0,2,None,Graduate degree,Rock and roll,Freeze time,Happy,Business person,Health
USA,NY,2018,12,Female,17,Right-Handed,163,22,160,2,Rail (Train/Tram/Subway),40,0.694,52,Dancing,900,800,600,600,900,700,23,Left foot,73,75,Ring finger,May,Fall,No,No,Meat,Water,History,6,10,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,200,12,0.5,10,5,5,0,20,15,25,20,0,3,Some,Graduate degree,Other,Fly,Happy,Friend,"Arts, culture, sports"
USA,NY,2018,12,Male,18,Right-Handed,152.4,21,155,1,Bus,5,0.457,44,Athletics,1000,770,775,791,684,1000,21,Same length,6.5,7.5,Ring finger,August,Winter,No,No,Pizza/Pasta,Soft drink (caffeinated),Physical education,8,8,3,Yes - other,Internet chat or instant messaging,5,8,3,0,2,0,2,6,1,3,9,0,0,0,A lot,Some college,Other,Freeze time,Happy,Friend,Health
USA,NY,2018,12,Female,17,Right-Handed,154,22,160,3,Rail (Train/Tram/Subway),25,0.477,36,Gymnastics,650,500,800,800,350,750,22,Same length,82,85,Ring finger,October,Fall,No,No,Soups,Water,Computers and technology,6,10,5,Yes - broadband connection,Internet chat or instant messaging,10,20,9,14,20,5,0,25,30,24,40,14,0,0,Some,Graduate degree,Pop,Fly,Healthy,Other,"Wildlife, animals"
USA,NY,2018,12,Female,18,Right-Handed,,,,1,Car,20,0.34,44,Soccer,1000,1000,900,850,900,1000,,,,,,January,Winter,Yes,No,Pizza/Pasta,Water,,6,11,5,Yes - broadband connection,Text messaging,1000,1000,10,4,14,20,15,30,30,10,50,5,25,20,A lot,Some college,Other,Super strength,Happy,Other,Education/Youth development
USA,NY,2018,12,Female,17,Right-Handed,162,24,161,2,Rail (Train/Tram/Subway),45,0.3999,33,Walking/Hiking,1000,900,1000,1000,700,900,24,Same length,68,65,Index finger,August,Spring,No,No,Seafood,Water,History,6,10,4,Yes - other,In person,100,150,6,0,15,20,3,0,3,4,40,30,0,3,A lot,Undergraduate degree,Rock and roll,Freeze time,Happy,Other,"Arts, culture, sports"
USA,NY,2018,9,Female,14,Left-Handed,167.7,15,165,2,Bus,5,0.753,60,Basketball,2,900,600,700,990,990,15,Left foot,50,70,Index finger,July,Summer,No,No,Rice/Noodle dishes,Water,Art,6,10,5,Yes - other,Text messaging,20,21,10,5,10,12,13,11,15,9,7,11,0,8,A lot,Some college,Rap/Hip hop,Invisibility,Rich,Musician or singer,Health
USA,NY,2018,12,Male,17,Right-Handed,161,,,1,Rail (Train/Tram/Subway),63,0.308,39,Baseball/Softball,400,400,400,500,800,1000,,Right foot,7,7,Same length,March,Spring,No,No,No favorite,Water,Mathematics and statistics,6,10,5,Yes - broadband connection,In person,50,60,8,1,4,2,5,7,20,1,79,0,1,1,Some,Graduate degree,Pop,Freeze time,Famous,Sports person,Education/Youth development
USA,NY,2018,12,Male,16,Right-Handed,168,23.1,174,1,Rail (Train/Tram/Subway),40,0.425,42,Cycling,600,700,800,400,1000,1000,23.3,Left foot,100,105,Ring finger,May,Spring,Yes,No,Fruit,Water,Mathematics and statistics,7,9,4,Yes - broadband connection,Cell phone,10,50,14,0,14,2,1,20,1,5,50,5,0,7,Some,Graduate degree,Heavy metal,Freeze time,Happy,Friend,Education/Youth development
